	(1)
VARIABLES	lfpr
	
	(0.05)
2.smartcat#0b.agecat#0b.phone	0.72
	(0.52)
2o.smartcat#0b.agecat#1o.phone	0.00
	(0.00)
2.smartcat#1.agecat#0b.phone	0.27
	(0.28)
2o.smartcat#1o.agecat#1o.phone	0.00
	(0.00)
2.smartcat#2.agecat#0b.phone	0.01
	(0.19)
2o.smartcat#2o.agecat#1o.phone	0.00
	(0.00)
3.smartcat#0b.agecat#0b.phone	-0.88***
	(0.34)
3o.smartcat#0b.agecat#1o.phone	0.00
	(0.00)
3.smartcat#1.agecat#0b.phone	-0.31
	(0.30)
3o.smartcat#1o.agecat#1o.phone	0.00
	(0.00)
3.smartcat#2.agecat#0b.phone	0.11
	(0.50)
3o.smartcat#2o.agecat#1o.phone	0.00
	(0.00)
1b.smartcat#0b.agecat#1b.poor	0.00
	(0.00)
1b.smartcat#0b.agecat#2.poor	0.16***
	(0.04)
1b.smartcat#0b.agecat#3.poor	0.26***
	(0.04)
1b.smartcat#1o.agecat#1b.poor	0.00
	(0.00)
1b.smartcat#1.agecat#2.poor	0.09***
	(0.03)
1b.smartcat#1.agecat#3.poor	0.18***
	(0.03)
1b.smartcat#2o.agecat#1b.poor	0.00
	(0.00)
1b.smartcat#2.agecat#2.poor	0.19***
	(0.05)
1b.smartcat#2.agecat#3.poor	0.27***
	(0.05)
2.smartcat#0b.agecat#1b.poor	-0.35*
	(0.19)
2.smartcat#0b.agecat#2.poor	-0.12
	(0.22)
2o.smartcat#0b.agecat#3o.poor	0.00
	(0.00)
2.smartcat#1.agecat#1b.poor	0.01
	(0.10)
2.smartcat#1.agecat#2.poor	0.00
	(0.11)
2o.smartcat#1o.agecat#3o.poor	0.00
	(0.00)
2.smartcat#2.agecat#1b.poor	-0.32***
	(0.12)
2.smartcat#2.agecat#2.poor	-0.27*
	(0.14)
2o.smartcat#2o.agecat#3o.poor	0.00
	(0.00)
3.smartcat#0b.agecat#1b.poor	-0.36
	(0.26)
3.smartcat#0b.agecat#2.poor	-0.01
