	(1)
	(0.07)
1b.devcat#2o.agecat#0b.pref_accept	0.00
	(0.00)
1b.devcat#2.agecat#1.pref_accept	-0.16
	(0.15)
2o.devcat#0b.agecat#0b.pref_accept	0.00
	(0.00)
2.devcat#0b.agecat#1.pref_accept	-0.02
	(0.07)
2.devcat#1.agecat#0b.pref_accept	-0.15***
	(0.04)
2o.devcat#1o.agecat#1o.pref_accept	0.00
	(0.00)
2.devcat#2.agecat#0b.pref_accept	-0.02
	(0.08)
2o.devcat#2o.agecat#1o.pref_accept	0.00
	(0.00)
3o.devcat#0b.agecat#0b.pref_accept	0.00
	(0.00)
3.devcat#0b.agecat#1.pref_accept	-0.12
	(0.27)
3.devcat#1.agecat#0b.pref_accept	-0.32***
	(0.11)
3o.devcat#1o.agecat#1o.pref_accept	0.00
	(0.00)
3.devcat#2.agecat#0b.pref_accept	-0.01
	(0.13)
3o.devcat#2o.agecat#1o.pref_accept	0.00
	(0.00)
4o.devcat#0b.agecat#0b.pref_accept	0.00
	(0.00)
4.devcat#0b.agecat#1.pref_accept	0.36**
	(0.18)
4.devcat#1.agecat#0b.pref_accept	0.00
	(0.10)
4o.devcat#1o.agecat#1o.pref_accept	0.00
	(0.00)
4.devcat#2.agecat#0b.pref_accept	-0.51
	(0.40)
4o.devcat#2o.agecat#1o.pref_accept	0.00
	(0.00)
1b.devcat#0b.agecat#1b.challenge	0.00
	(0.00)
1b.devcat#0b.agecat#2.challenge	-0.38***
	(0.13)
1b.devcat#0b.agecat#3.challenge	-0.29**
	(0.13)
1b.devcat#0b.agecat#4.challenge	-0.34**
	(0.15)
1b.devcat#0b.agecat#5.challenge	-0.30**
	(0.13)
1b.devcat#0b.agecat#6.challenge	-0.27*
	(0.15)
1b.devcat#0b.agecat#7.challenge	-0.27
	(0.19)
1b.devcat#0b.agecat#8.challenge	-0.36
	(0.25)
1b.devcat#0b.agecat#9.challenge	-0.29
	(0.21)
1b.devcat#0b.agecat#10.challenge	-0.31*
	(0.18)
1b.devcat#0b.agecat#97.challenge	-0.36**
	(0.16)
1b.devcat#0b.agecat#98.challenge	-0.30**
	(0.14)
1b.devcat#1o.agecat#1b.challenge	0.00
	(0.00)
1b.devcat#1.agecat#2.challenge	0.11
	(0.10)
1b.devcat#1.agecat#3.challenge	-0.04
	(0.10)
1b.devcat#1.agecat#4.challenge	-0.07
	(0.12)
1b.devcat#1.agecat#5.challenge	-0.02
	(0.10)
1b.devcat#1.agecat#6.challenge	0.14
	(0.11)
1b.devcat#1.agecat#7.challenge	0.08
	(0.16)
1b.devcat#1.agecat#8.challenge	-0.60***
	(0.20)
1b.devcat#1.agecat#9.challenge	-0.00
	(0.18)
1b.devcat#1.agecat#10.challenge	0.17
	(0.15)
1b.devcat#1.agecat#97.challenge	-0.14
	(0.12)
1b.devcat#1.agecat#98.challenge	0.01
	(0.10)
1b.devcat#2o.agecat#1b.challenge	0.00
	(0.00)
1b.devcat#2.agecat#2.challenge	-0.34
	(0.28)
1b.devcat#2.agecat#3.challenge	-0.33
	(0.28)
1b.devcat#2.agecat#4.challenge	-0.16
	(0.31)
1b.devcat#2.agecat#5.challenge	-0.46*
	(0.27)
1b.devcat#2.agecat#6.challenge	-0.53*
	(0.29)
1b.devcat#2.agecat#7.challenge	-0.18
	(0.39)
1b.devcat#2.agecat#8.challenge	-0.58
	(0.42)
1b.devcat#2.agecat#9.challenge	-0.00
	(0.42)
1b.devcat#2.agecat#10.challenge	-0.35
	(0.36)
1b.devcat#2.agecat#97.challenge	-0.67**
	(0.30)
1b.devcat#2.agecat#98.challenge	-0.47*
	(0.27)
2o.devcat#0b.agecat#1b.challenge	0.00
	(0.00)
2.devcat#0b.agecat#2.challenge	-0.32***
	(0.09)
2.devcat#0b.agecat#3.challenge	-0.18*
	(0.10)
2.devcat#0b.agecat#4.challenge	-0.25**
	(0.12)
2.devcat#0b.agecat#5.challenge	-0.17*
	(0.09)
2.devcat#0b.agecat#6.challenge	-0.21**
	(0.09)
2.devcat#0b.agecat#7.challenge	-0.02
	(0.12)
2.devcat#0b.agecat#8.challenge	-0.41**
	(0.16)
2.devcat#0b.agecat#9.challenge	-0.19
	(0.15)
2.devcat#0b.agecat#10.challenge	-0.11
	(0.14)
2.devcat#0b.agecat#97.challenge	-0.03
	(0.11)
2.devcat#0b.agecat#98.challenge	-0.36***
	(0.09)
2.devcat#1.agecat#1b.challenge	0.11**
	(0.06)
