	(1)
VARIABLES	lfpr
	
1b.smartcat#0b.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#0b.agecat#2.challenge	-0.37***
	(0.14)
1b.smartcat#0b.agecat#3.challenge	-0.29**
	(0.14)
1b.smartcat#0b.agecat#4.challenge	-0.34**
	(0.15)
1b.smartcat#0b.agecat#5.challenge	-0.32**
	(0.13)
1b.smartcat#0b.agecat#6.challenge	-0.28*
	(0.15)
1b.smartcat#0b.agecat#7.challenge	-0.26
	(0.19)
1b.smartcat#0b.agecat#8.challenge	-0.39
	(0.26)
1b.smartcat#0b.agecat#9.challenge	-0.28
	(0.21)
1b.smartcat#0b.agecat#10.challenge	-0.34**
	(0.17)
1b.smartcat#0b.agecat#97.challenge	-0.37**
	(0.16)
1b.smartcat#0b.agecat#98.challenge	-0.35**
	(0.14)
1b.smartcat#1o.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#1.agecat#2.challenge	0.11
	(0.10)
1b.smartcat#1.agecat#3.challenge	-0.03
	(0.10)
1b.smartcat#1.agecat#4.challenge	-0.08
	(0.12)
1b.smartcat#1.agecat#5.challenge	-0.01
	(0.10)
1b.smartcat#1.agecat#6.challenge	0.15
	(0.11)
1b.smartcat#1.agecat#7.challenge	0.09
	(0.16)
1b.smartcat#1.agecat#8.challenge	-0.58***
	(0.20)
1b.smartcat#1.agecat#9.challenge	-0.00
	(0.18)
1b.smartcat#1.agecat#10.challenge	0.18
	(0.14)
1b.smartcat#1.agecat#97.challenge	-0.13
	(0.12)
1b.smartcat#1.agecat#98.challenge	0.03
	(0.10)
1b.smartcat#2o.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#2.agecat#2.challenge	-0.36
	(0.27)
1b.smartcat#2.agecat#3.challenge	-0.31
	(0.28)
1b.smartcat#2.agecat#4.challenge	-0.19
	(0.31)
1b.smartcat#2.agecat#5.challenge	-0.47*
	(0.27)
1b.smartcat#2.agecat#6.challenge	-0.50*
	(0.29)
1b.smartcat#2.agecat#7.challenge	-0.17
	(0.38)
1b.smartcat#2.agecat#8.challenge	-0.59
	(0.43)
1b.smartcat#2.agecat#9.challenge	0.06
	(0.42)
1b.smartcat#2.agecat#10.challenge	-0.34
	(0.37)
1b.smartcat#2.agecat#97.challenge	-0.70**
	(0.30)
1b.smartcat#2.agecat#98.challenge	-0.45*
	(0.27)
2.smartcat#0b.agecat#1b.challenge	0.22**
	(0.10)
2.smartcat#0b.agecat#2.challenge	0.08
	(0.08)
2.smartcat#0b.agecat#3.challenge	0.06
	(0.10)
2.smartcat#0b.agecat#4.challenge	0.26*
	(0.14)
2.smartcat#0b.agecat#5.challenge	0.18**
	(0.09)
2.smartcat#0b.agecat#6.challenge	0.17*
	(0.09)
2.smartcat#0b.agecat#7.challenge	0.24**
	(0.10)
2.smartcat#0b.agecat#8.challenge	0.13
	(0.19)
2.smartcat#0b.agecat#9.challenge	0.14
	(0.13)
2.smartcat#0b.agecat#10.challenge	0.31*
	(0.16)
2.smartcat#0b.agecat#97.challenge	0.26***
	(0.10)
2o.smartcat#0b.agecat#98o.challenge	0.00
	(0.00)
2.smartcat#1.agecat#1b.challenge	0.13**
	(0.06)
2.smartcat#1.agecat#2.challenge	0.12**
	(0.05)
2.smartcat#1.agecat#3.challenge	0.05
	(0.06)
2.smartcat#1.agecat#4.challenge	-0.12
	(0.09)
2.smartcat#1.agecat#5.challenge	0.07
	(0.06)
2.smartcat#1.agecat#6.challenge	0.15***
	(0.05)
